"pop";"Algoritmo";"nexecucao";"L";"n";"cv";"tempo"
"unif.1k";"D1.F1";1;3;100;1,94616907095983;46,4199999999996
"unif.1k";"D1.F1";2;3;100;1,94633640795756;28,54
"unif.1k";"ESTRAT.KOZAK";1;3;100;1,72860593892198;2,14647316932678
"unif.1k";"ESTRAT.KOZAK";2;3;100;1,72860593892198;0,641857147216797
"unif.1k";"ESTRAT.KOZAK";3;3;200;1,15224556122983;1,96843194961548
"unif.1k";"ESTRAT.KOZAK";4;3;200;1,15224556122983;1,072350025177
"unif.1k";"ESTRAT.KOZAK";5;4;100;1,30086878416411;0,899955987930298
"unif.1k";"ESTRAT.KOZAK";6;4;100;1,30086878416411;1,46616220474243
"unif.1k";"ESTRAT.KOZAK";7;4;200;0,86698111986608;1,05449795722961
"unif.1k";"ESTRAT.KOZAK";8;4;200;0,86698111986608;0,977751970291138
"unif.1k";"ESTRAT.KOZAK";9;5;100;1,02096164319146;1,607745885849
"unif.1k";"ESTRAT.KOZAK";10;5;100;1,02096164319146;1,01370477676392
"unif.1k";"ESTRAT.KOZAK";11;5;200;0,680380629640302;1,12837791442871
"unif.1k";"ESTRAT.KOZAK";12;5;200;0,680380629640302;0,967688083648682
